condition,system,source,knob,knob_value,n_turns,cutoff_rate,cutoff_rate_at_tolerance,false_hold_rate,latency_p50,latency_p95,latency_p99,latency_fallback_p50,latency_fallback_p95,latency_fallback_p99
gold_16k,text_eot_v1.1+gate200,silero,threshold,0.6,198,0.005050505050505051,0.005050505050505051,0.8737373737373737,256.0,256.0,280.64,2000.0,2000.0,2000.0
gold_16k,text_eot_v1.1+gate200,silero,threshold,0.65,198,0.0,0.0,0.9646464646464646,256.0,256.0,256.0,2000.0,2000.0,2000.0
gold_16k,text_eot_v1.1+gate200,silero,threshold,0.7,198,0.0,0.0,0.9797979797979798,256.0,256.0,256.0,2000.0,2000.0,2000.0
gold_16k,text_eot_v1.1+gate200,silero,threshold,0.75,198,0.0,0.0,0.9797979797979798,256.0,256.0,256.0,2000.0,2000.0,2000.0
gold_16k,text_eot_v1.1+gate200,silero,threshold,0.8,198,0.0,0.0,0.9797979797979798,256.0,256.0,256.0,2000.0,2000.0,2000.0
gold_16k,text_eot_v1.1+gate200,silero,threshold,0.85,198,0.0,0.0,0.9797979797979798,256.0,256.0,256.0,2000.0,2000.0,2000.0
gold_16k,text_eot_v1.1+gate200,silero,threshold,0.9,198,0.0,0.0,0.9848484848484849,256.0,256.0,256.0,2000.0,2000.0,2000.0
gold_16k,text_eot_v1.1+gate200,silero,threshold,0.95,198,0.0,0.0,1.0,,,,2000.0,2000.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,100,198,0.8181818181818182,0.7828282828282829,0.0,160.0,224.0,265.5999999999999,160.0,224.0,265.5999999999999
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,200,198,0.6363636363636364,0.601010101010101,0.0,256.0,320.0,810.8800000000092,256.0,320.0,810.8800000000092
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,300,198,0.4797979797979798,0.42424242424242425,0.005050505050505051,352.0,448.0,479.67999999999984,352.0,448.0,1922.5600000000059
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,400,198,0.3484848484848485,0.32323232323232326,0.015151515151515152,416.0,536.0,568.0,416.0,544.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,500,198,0.25252525252525254,0.24242424242424243,0.020202020202020204,512.0,635.1999999999998,836.159999999998,512.0,640.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,600,198,0.23737373737373738,0.21717171717171718,0.020202020202020204,608.0,736.0,1331.8399999999992,608.0,912.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,700,198,0.1919191919191919,0.1717171717171717,0.020202020202020204,704.0,832.0,1472.0,704.0,1163.1999999999962,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,800,198,0.17676767676767677,0.1717171717171717,0.025252525252525252,800.0,932.8000000000002,1755.5200000000004,800.0,1568.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,900,198,0.12121212121212122,0.12121212121212122,0.03535353535353535,928.0,1056.0,1877.7600000000002,928.0,1878.3999999999996,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,1000,198,0.10606060606060606,0.10101010101010101,0.06060606060606061,1024.0,1152.0,1792.0,1024.0,2000.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,1100,198,0.10101010101010101,0.09595959595959595,0.0707070707070707,1120.0,1248.0,1827.5200000000004,1120.0,2000.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,1200,198,0.07575757575757576,0.0707070707070707,0.07575757575757576,1216.0,1344.0,1919.6800000000012,1216.0,2000.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,1300,198,0.06565656565656566,0.06060606060606061,0.09090909090909091,1312.0,1430.3999999999996,1569.920000000001,1312.0,2000.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,1400,198,0.05555555555555555,0.05555555555555555,0.10101010101010101,1408.0,1504.0,1546.88,1408.0,2000.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,1500,198,0.045454545454545456,0.04040404040404041,0.1111111111111111,1504.0,1600.0,1642.88,1504.0,2000.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,1600,198,0.03535353535353535,0.025252525252525252,0.12121212121212122,1600.0,1696.0,1728.0,1600.0,2000.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,1700,198,0.020202020202020204,0.020202020202020204,0.13131313131313133,1728.0,1824.0,1856.0,1728.0,2000.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,1800,198,0.015151515151515152,0.015151515151515152,0.13636363636363635,1824.0,1920.0,1952.0,1824.0,2000.0,2000.0
gold_tel,fixed_timeout+silero,silero_tel,timeout_ms,1900,198,0.005050505050505051,0.005050505050505051,0.21212121212121213,1920.0,1984.0,1984.0,1920.0,2000.0,2000.0
